State,Year,Crash_Count,Population,Crash_Rate_Per_100k
ACT,1990,24,282888.25,8.483915468387252
ACT,1991,16,289665.0,5.523622115202043
ACT,1992,18,295244.25,6.096647098122995
ACT,1993,11,299869.25,3.668265419011786
ACT,1994,15,302507.5,4.958554746576532
ACT,1995,14,306282.0,4.570950953696267
ACT,1996,17,309755.75,5.488195134392178
ACT,1997,17,310495.5,5.4751196072084785
ACT,1998,20,311647.5,6.417506958984109
ACT,1999,17,314475.25,5.4058308245243465
ACT,2000,16,317746.5,5.035460658103236
ACT,2001,15,321720.0,4.662439388287953
ACT,2002,8,325004.75,2.461502485732901
ACT,2003,10,327355.75,3.0547806171115064
ACT,2004,9,329032.25,2.735294184688583
ACT,2005,25,331999.25,7.53013749278048
ACT,2006,12,336099.25,3.570373929724627
ACT,2007,14,342676.25,4.085488854275719
ACT,2008,14,348872.25,4.012930234491279
ACT,2009,11,355576.25,3.0935699445618208
ACT,2010,16,362449.5,4.414408076159575
ACT,2011,6,369170.0,1.625267491941382
ACT,2012,12,377447.5,3.1792500943839874
ACT,2013,7,384086.75,1.8225049419174182
ACT,2014,10,389906.0,2.564720727559976
ACT,2015,14,396679.5,3.5292975815488323
ACT,2016,10,404923.75,2.4696007581674326
ACT,2017,5,416563.25,1.2002979139422405
ACT,2018,9,427266.5,2.106413678582337
ACT,2019,6,437107.75,1.3726592585009074
ACT,2020,6,445334.25,1.3473026159564416
ACT,2021,11,451644.75,2.4355425364736334
ACT,2022,15,458336.5,3.272704661313249
ACT,2023,4,467361.25,0.8558689878546841
ACT,2024,6,472803.0,1.2690274807900965
NSW,1990,702,5841050.75,12.01838556187857
NSW,1991,585,5906691.25,9.904021985235811
NSW,1992,576,5963196.25,9.659249433556711
NSW,1993,518,6003827.25,8.627829856363705
NSW,1994,552,6054211.25,9.117620400180122
NSW,1995,563,6115522.25,9.20608211342866
NSW,1996,538,6186766.5,8.695980363894451
NSW,1997,525,6254100.75,8.394492205773949
NSW,1998,491,6315990.0,7.773919844711597
NSW,1999,506,6384681.5,7.925219135833165
NSW,2000,543,6457269.75,8.409126783033958
NSW,2001,486,6536892.0,7.434725860546572
NSW,2002,501,6586550.75,7.606409166436621
NSW,2003,483,6624618.5,7.290985888470408
NSW,2004,458,6657159.25,6.87981138501381
NSW,2005,459,6701133.25,6.849587717122325
NSW,2006,449,6757627.75,6.644343497612753
NSW,2007,405,6848275.75,5.913897377745047
NSW,2008,353,6959386.25,5.072286367206591
NSW,2009,409,7066714.25,5.787696877654279
NSW,2010,365,7153816.25,5.102171865261426
NSW,2011,336,7230379.0,4.647059303530285
NSW,2012,336,7317507.25,4.591727599586594
NSW,2013,316,7418207.75,4.259789030578174
NSW,2014,285,7523658.75,3.788050594399965
NSW,2015,326,7632156.0,4.271401161087378
NSW,2016,356,7750952.5,4.592983894560056
NSW,2017,351,7868619.25,4.460757203368304
NSW,2018,326,7969313.25,4.090691252473982
NSW,2019,329,8059862.5,4.081955492416899
NSW,2020,264,8103954.0,3.257669034152958
NSW,2021,260,8094950.75,3.211878713406626
NSW,2022,263,8190122.5,3.211185180685637
NSW,2023,303,8366507.25,3.621582949085474
NSW,2024,228,8469597.0,2.6919816846067173
NT,1990,54,163926.25,32.94164296444285
NT,1991,60,166152.0,36.111512350137225
NT,1992,42,169046.0,24.845308377601363
NT,1993,41,172375.25,23.785317207661773
NT,1994,36,175362.25,20.528933678713635
NT,1995,56,180455.25,31.03262443181897
NT,1996,58,185486.5,31.269122011574964
NT,1997,56,189982.75,29.476360353768964
NT,1998,59,193264.75,30.528070949306585
NT,1999,44,196456.75,22.396787079089925
NT,2000,48,199328.5,24.08085145877283
NT,2001,43,201569.5,21.332592480509202
NT,2002,40,201937.25,19.8081334672033
NT,2003,44,201570.5,21.82859098925686
NT,2004,34,203014.0,16.747613465081226
NT,2005,51,206236.5,24.728891345615352
NT,2006,41,209679.25,19.553675435218317
NT,2007,47,214479.5,21.913516210173935
NT,2008,67,220444.0,30.39320643791621
NT,2009,31,226246.75,13.701854280779722
NT,2010,46,229784.25,20.01877848460023
NT,2011,38,231762.25,16.39611282683008
NT,2012,40,236608.75,16.905545547237793
NT,2013,33,241608.5,13.658459863787904
NT,2014,34,242909.5,13.99698241526165
NT,2015,42,244102.75,17.205869249731926
NT,2016,40,245703.25,16.27980093873402
NT,2017,27,247004.75,10.930963878225013
NT,2018,42,246673.75,17.026538089277842
NT,2019,28,246366.25,11.365193081438711
NT,2020,28,247492.75,11.313462717594758
NT,2021,32,248212.0,12.892205050521328
NT,2022,40,250452.5,15.971092322895558
NT,2023,24,253235.0,9.477362923766462
NT,2024,42,254263.0,16.518329446282
QLD,1990,347,2906426.0,11.939061926916427
QLD,1991,359,2968722.0,12.092745632632493
QLD,1992,363,3032951.75,11.968538569728318
QLD,1993,357,3106086.25,11.493563644602592
QLD,1994,364,3175239.0,11.463703992045954
QLD,1995,408,3245638.5,12.570716054791683
QLD,1996,338,3310469.25,10.210032913007725
QLD,1997,321,3362193.0,9.547340084284276
QLD,1998,257,3410387.0,7.535801655354656
QLD,1999,273,3460891.25,7.888141530017738
QLD,2000,275,3516930.25,7.819319134918868
QLD,2001,296,3582526.75,8.262324907971728
QLD,2002,283,3665558.75,7.7205146418673545
QLD,2003,284,3755007.25,7.563234398548765
QLD,2004,289,3840773.5,7.524525984153972
QLD,2005,296,3930028.5,7.531751996200536
QLD,2006,313,4020767.5,7.784583415977173
QLD,2007,338,4122624.25,8.19866132597459
QLD,2008,294,4233631.5,6.944392774855346
QLD,2009,296,4337991.25,6.823434694572055
QLD,2010,236,4412724.25,5.348170124158562
QLD,2011,227,4487875.5,5.058072577993752
QLD,2012,255,4579426.0,5.568383461158669
QLD,2013,246,4660869.25,5.277985431580171
QLD,2014,199,4726679.0,4.210144162529336
QLD,2015,219,4784646.0,4.577141130190196
QLD,2016,238,4854983.0,4.902179884049027
QLD,2017,228,4934711.0,4.620331362870084
QLD,2018,224,5016638.75,4.465141126615904
QLD,2019,196,5099858.5,3.843243886080369
QLD,2020,251,5169329.5,4.855562022115247
QLD,2021,248,5227907.5,4.743771767193662
