State,Month,Year,Number Fatalities,Weekday (Y/N),Time of Day
TAS,9,2024,1,1,N
SA,9,2024,1,1,D
WA,9,2024,1,1,D
NSW,9,2024,1,1,D
SA,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
WA,9,2024,1,1,D
TAS,9,2024,2,1,D
QLD,9,2024,1,1,D
QLD,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,1,0,N
WA,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,4,0,N
VIC,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
TAS,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
NSW,9,2024,1,1,D
VIC,9,2024,1,1,D
QLD,9,2024,2,0,N
WA,9,2024,1,0,N
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
QLD,9,2024,1,0,N
VIC,9,2024,1,0,N
NSW,9,2024,1,0,N
VIC,9,2024,1,0,N
NSW,9,2024,1,0,N
WA,9,2024,1,0,N
QLD,9,2024,1,0,N
NSW,9,2024,2,0,N
NSW,9,2024,1,0,N
TAS,9,2024,1,0,N
NT,9,2024,1,0,N
NT,9,2024,1,0,D
VIC,9,2024,1,0,D
NSW,9,2024,1,0,D
WA,9,2024,1,0,D
NT,9,2024,1,0,D
VIC,9,2024,1,0,D
SA,9,2024,1,0,D
QLD,9,2024,1,0,D
NSW,9,2024,1,0,D
NT,9,2024,1,0,D
QLD,9,2024,1,0,N
VIC,9,2024,1,0,N
VIC,9,2024,1,0,N
WA,9,2024,1,0,N
QLD,9,2024,1,1,N
WA,9,2024,1,1,N
QLD,9,2024,1,1,N
NSW,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,1,1,D
VIC,9,2024,1,1,D
QLD,9,2024,1,1,D
QLD,9,2024,1,1,D
VIC,9,2024,1,1,D
VIC,9,2024,1,1,D
WA,9,2024,1,1,D
NSW,9,2024,1,1,N
QLD,9,2024,1,1,N
WA,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
WA,9,2024,1,1,N
WA,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,1,1,D
WA,9,2024,1,1,D
QLD,9,2024,1,1,D
VIC,9,2024,1,1,D
NSW,9,2024,1,1,D
NSW,9,2024,1,1,D
NSW,9,2024,1,1,D
WA,9,2024,1,1,N
VIC,9,2024,1,1,N
QLD,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,2,1,N
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
WA,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,2,1,D
QLD,8,2024,1,1,D
NT,8,2024,1,1,D
QLD,8,2024,1,1,D
TAS,8,2024,1,1,D
NSW,8,2024,1,1,D
NSW,8,2024,1,1,D
QLD,8,2024,1,0,N
NSW,8,2024,1,0,N
WA,8,2024,1,0,N
NSW,8,2024,1,0,N
NSW,8,2024,1,0,N
QLD,8,2024,1,0,N
NT,8,2024,1,0,N
VIC,8,2024,1,0,N
WA,8,2024,1,0,N
VIC,8,2024,1,0,N
QLD,8,2024,1,1,D
NSW,8,2024,1,1,D
SA,8,2024,1,1,D
WA,8,2024,1,1,D
NSW,8,2024,1,1,D
WA,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
SA,8,2024,1,1,N
TAS,8,2024,1,0,N
NSW,8,2024,2,0,N
NT,8,2024,1,0,D
QLD,8,2024,1,0,D
WA,8,2024,1,0,D
TAS,8,2024,1,0,D
VIC,8,2024,1,0,D
NSW,8,2024,1,0,D
VIC,8,2024,2,0,N
VIC,8,2024,1,0,N
NSW,8,2024,1,0,N
QLD,8,2024,1,0,N
WA,8,2024,3,0,N
VIC,8,2024,1,0,N
QLD,8,2024,1,0,N
VIC,8,2024,1,0,N
WA,8,2024,1,0,N
QLD,8,2024,1,0,N
VIC,8,2024,1,0,D
SA,8,2024,1,0,D
VIC,8,2024,1,0,D
QLD,8,2024,3,0,D
VIC,8,2024,1,0,D
WA,8,2024,1,0,N
QLD,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
SA,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
SA,8,2024,1,1,N
NT,8,2024,1,1,N
TAS,8,2024,1,1,N
QLD,8,2024,1,1,N
WA,8,2024,1,1,N
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
WA,8,2024,1,1,N
SA,8,2024,1,1,N
VIC,8,2024,1,1,N
VIC,8,2024,1,1,N
SA,8,2024,1,1,N
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
WA,8,2024,1,1,N
NT,8,2024,1,1,N
SA,8,2024,1,1,N
WA,8,2024,1,1,N
VIC,7,2024,1,1,N
QLD,7,2024,1,1,D
SA,7,2024,1,1,D
QLD,7,2024,1,1,D
NT,7,2024,1,1,D
NT,7,2024,2,1,D
TAS,7,2024,2,1,D
VIC,7,2024,2,1,D
NT,7,2024,2,1,D
NSW,7,2024,1,1,D
QLD,7,2024,1,1,D
NT,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,0,N
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
WA,7,2024,1,1,D
WA,7,2024,1,1,D
TAS,7,2024,1,1,D
NSW,7,2024,1,1,D
