Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1990,5841050.75,4383757.5,2906426,1433994,1615811.5,462561.75,163926.25,282888.25
1991,5906691.25,4424568.75,2968722,1447392.25,1639394.5,467239.25,166152,289665
1992,5963196.25,4452103.25,3032951.75,1455755.25,1661514.5,470278.25,169046,295244.25
1993,6003827.25,4464390.75,3106086.25,1459483.75,1682073,472352,172375.25,299869.25
1994,6054211.25,4476645.5,3175239,1463334.25,1708813,473672.5,175362.25,302507.5
1995,6115522.25,4503172,3245638.5,1465616.75,1740173.5,474753.75,180455.25,306282
1996,6186766.5,4539985.25,3310469.25,1469838.25,1772165.25,475536.75,185486.5,309755.75
1997,6254100.75,4574746,3362193,1476618.5,1801853.5,474773.75,189982.75,310495.5
1998,6315990,4613623.75,3410387,1484257.25,1830508.25,473573,193264.75,311647.5
1999,6384681.5,4660205.25,3460891.25,1492227.75,1857634.25,473173.5,196456.75,314475.25
2000,6457269.75,4712229,3516930.25,1498348.5,1883019.75,473165.25,199328.5,317746.5
2001,6536892,4770901,3582526.75,1504644.25,1909383.75,473687.5,201569.5,321720
2002,6586550.75,4825530.25,3665558.75,1512741.25,1931258.5,474748.5,201937.25,325004.75
2003,6624618.5,4881506.25,3755007.25,1521472.25,1956283,479337.5,201570.5,327355.75
2004,6657159.25,4936431.25,3840773.5,1529566.5,1983610.25,483682.25,203014,329032.25
2005,6701133.25,4999258,3930028.5,1540614.5,2016536.5,486737,206236.5,331999.25
2006,6757627.75,5074257.75,4020767.5,1555324,2058482.5,490077.75,209679.25,336099.25
2007,6848275.75,5166403.5,4122624.25,1572712.75,2113888.5,494073,214479.5,342676.25
2008,6959386.25,5272302.25,4233631.5,1591169.5,2181940.5,499489,220444,348872.25
2009,7066714.25,5384432.25,4337991.25,1611553.75,2246417.25,504928.25,226246.75,355576.25
2010,7153816.25,5470173.5,4412724.25,1628516.75,2298478,509182.25,229784.25,362449.5
2011,7230379,5553668.75,4487875.5,1641739.5,2361644.75,511587.5,231762.25,369170
2012,7317507.25,5666612.75,4579426,1658180.25,2433495,511778,236608.75,377447.5
2013,7418207.75,5788667,4660869.25,1673227.25,2490164.75,512499,241608.5,384086.75
2014,7523658.75,5912284.75,4726679,1688432.25,2520706.25,513810,242909.5,389906
2015,7632156,6042033.5,4784646,1702185.25,2542632.5,515330,244102.75,396679.5
2016,7750952.5,6188358,4854983,1715008,2561145.5,518990.5,245703.25,404923.75
2017,7868619.25,6318221.75,4934711,1730658.75,2589765.5,528061.75,247004.75,416563.25
2018,7969313.25,6439073.75,5016638.75,1748989,2623159.25,538803.25,246673.75,427266.5
2019,8059862.5,6553492.25,5099858.5,1770804.5,2668077.75,549232.75,246366.25,437107.75
2020,8103954,6597578.5,5169329.5,1791223.5,2716862.5,558715.25,247492.75,445334.25
2021,8094950.75,6555549,5227907.5,1802247,2751174.75,566908.75,248212,451644.75
2022,8190122.5,6656592,5338412.75,1825486,2804147.5,571414.5,250452.5,458336.5
2023,8366507.25,6840779,5477571.5,1856747.25,2895904,573986.5,253235,467361.25
2024,8469597,6959234,5560452,1873819,2951602,575660,254263,472803
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
